day,Cell_ID,uA
2024-03-12,EV_1,0.9
2024-03-13,EV_1,0.5
2024-03-14,EV_1,1.7
2024-03-18,EV_1,22
2024-03-19,EV_1,32
2024-04-08,EV_1,14.5
2024-03-12,EV_2,0.8
2024-03-13,EV_2,3.4
2024-03-14,EV_2,8.3
2024-03-18,EV_2,27
2024-03-19,EV_2,30
2024-04-08,EV_2,18.6
2024-03-12,EV_3,0.9
2024-03-13,EV_3,0.9
2024-03-14,EV_3,0.6
2024-03-18,EV_3,9.7
2024-03-19,EV_3,5.9
2024-04-08,EV_3,13
2024-03-12,EV_4,2.1
2024-03-13,EV_4,2.9
2024-03-14,EV_4,8.4
2024-03-18,EV_4,23.7
2024-03-19,EV_4,1.7
2024-04-08,EV_4,6.7
