Cell_ID,Wet_Mass,Dry_Mass
C_1_L,7.16,0.68
C_1_R,8.76,1.47
C_2_L,4.46,0.63
C_2_R,6.46,0.93
C_3_L,10.06,1.56
C_3_R,10.46,1.58
C_4_L,10.36,2.04
C_4_R,8.66,1.7
EC_1_L,5.56,0.69
EC_1_R,5.56,0.66
EC_2_L,4.96,1.35
EC_2_R,5.46,0.74
EC_3_L,4.96,0.9
EC_3_R,5.66,0.73
EC_4_L,7.06,0.88
EC_4_R,8.26,0.8
EV_1_L,5.06,0.55
EV_1_R,11.96,2.7
EV_2_L,7.56,1.38
EV_2_R,6.46,0.73
EV_3_L,7.36,0.69
EV_3_R,7.66,0.8
EV_4_L,5.76,0.47
EV_4_R,7.66,1.25
MFC_1_L,6.96,0.94
MFC_1_R,6.46,0.77
MFC_2_L,9.06,1.25
MFC_2_R,7.96,1.25
MFC_3_L,8.16,1.4
MFC_3_R,7.56,0.84
MFC_4_L,6.09,0.85
MFC_4_R,5.22,0.58
